,Community,Population,Median Inc
0,ABBEYDALE,6150,81232
1,ACADIA,10435,72552
2,ALBERT PARK/RADISSON HEIGHTS,6640,64429
3,APPLEWOOD PARK,6850,84965
4,ARBOUR LAKE,10760,109790
5,ASPEN WOODS,9060,199759
6,AUBURN BAY,14850,136961
7,BAYVIEW,740,260339
8,BEDDINGTON HEIGHTS,11840,88241
9,BELMONT,,
10,BELVEDERE,,
11,BONAVISTA DOWNS,880,103323
12,BOWNESS,10800,66352
13,BRAESIDE,6055,90100
14,BRENTWOOD,6585,84195
15,BRIDLEWOOD,12795,104363
16,CANYON MEADOWS,7810,101964
17,CARRINGTON,,
18,CASTLERIDGE,6465,79800
19,CEDARBRAE,6340,88576
20,CHAPARRAL,13475,137640
21,CHARLESWOOD,3665,103866
22,CHINOOK PARK,1535,129427
23,CHRISTIE PARK,2090,148404
24,CITADEL,10435,116851
25,CITYSCAPE,1695,95682
26,COACH HILL,3410,104061
27,COLLINGWOOD,2160,106849
28,COPPERFIELD,12600,107069
29,CORAL SPRINGS,6110,114498
30,CORNERSTONE,,
31,COUGAR RIDGE,7110,158306
32,COUNTRY HILLS,3780,93319
33,COUNTRY HILLS VILLAGE,2410,70139
34,COVENTRY HILLS,17520,109984
35,CRANSTON,18120,125439
36,CRESTMONT,1545,209899
37,CURRIE BARRACKS,770,233816
38,DALHOUSIE,9085,84705
39,DEER RIDGE,4100,90560
40,DEER RUN,5120,106486
41,DIAMOND COVE,825,131502
42,DISCOVERY RIDGE,4475,162187
43,DOUGLASDALE/GLEN,12700,136984
44,DOVER,10910,64551
45,EAGLE RIDGE,315,263754
46,EDGEMONT,15950,128495
47,ERIN WOODS,7095,82972
48,EVANSTON,13980,126256
49,EVERGREEN,21240,128331
50,FAIRVIEW,3790,85153
51,FALCONRIDGE,10890,72994
52,FOREST HEIGHTS,6295,70656
53,FOREST LAWN,7405,57996
54,GARRISON GREEN,1680,135157
55,GLAMORGAN,6195,77999
56,GLENBROOK,7270,69841
57,GLENDALE,2890,106539
58,GREENWOOD/GREENBRIAR,905,54638
59,HAMPTONS,7810,146669
60,HARVEST HILLS,7560,112683
61,HASKAYNE,,
62,HAWKWOOD,9845,128810
63,HAYSBORO,7165,84933
64,HIDDEN VALLEY,11915,121465
65,HOMESTEAD,,
66,HOTCHKISS,,
67,HUNTINGTON HILLS,13645,73839
68,KELVIN GROVE,1950,84960
69,KINCORA,6075,131567
70,KINGSLAND,4770,65299
71,LAKE BONAVISTA,10520,130604
72,LAKEVIEW,5455,110824
73,LEGACY,2315,104855
74,LINCOLN PARK,1915,55903
75,LIVINGSTON,,
76,MACEWAN GLEN,5055,119998
77,MAHOGANY,7125,135818
78,MAPLE RIDGE,1990,109723
79,MARLBOROUGH,9240,74471
80,MARLBOROUGH PARK,8935,79140
81,MARTINDALE,15020,87668
82,MAYLAND HEIGHTS,5925,71361
83,MCKENZIE LAKE,13925,136238
84,MCKENZIE TOWNE,17890,104506
85,MIDNAPORE,6560,90193
86,MILLRISE,6750,98304
87,MONTEREY PARK,10865,89559
88,MONTGOMERY,3975,84860
89,NEW BRIGHTON,12295,121034
90,NOLAN HILL,3940,121955
91,NORTH GLENMORE PARK,2595,100678
92,NORTH HAVEN,2390,96008
93,NORTH HAVEN UPPER,635,112005
94,OAKRIDGE,5805,113152
95,OGDEN,8600,72698
96,PALLISER,3440,77731
97,PANORAMA HILLS,26120,112016
98,PARKLAND,3755,127114
99,PATTERSON,4265,97573
100,PENBROOKE MEADOWS,8625,65206
101,PINE CREEK,,
102,PINERIDGE,10135,68882
103,PUMP HILL,1445,165266
104,QUEENSLAND,4750,92397
105,RANCHLANDS,7635,83924
106,RED CARPET,1815,58734
107,REDSTONE,2535,100739
108,RIVERBEND,9700,120221
109,ROCKY RIDGE,8195,117760
110,ROSSCARROCK,3560,65633
111,ROYAL OAK,11690,126618
112,RUNDLE,11265,76854
113,RUTLAND PARK,2285,82096
114,SADDLE RIDGE,19525,93153
115,SAGE HILL,5650,110685
116,SANDSTONE VALLEY,6165,101872
117,SCENIC ACRES,8320,145685
118,SETON,,
119,SHAWNEE SLOPES,1550,109915
120,SHAWNESSY,9485,106428
121,SHERWOOD,5080,125737
122,SIGNAL HILL,13700,123355
123,SILVER SPRINGS,8910,107910
124,SILVERADO,6970,125233
125,SKYVIEW RANCH,8445,95634
126,SOMERSET,8820,99344
127,SOUTHVIEW,1825,67548
128,SOUTHWOOD,6225,80443
129,SPRINGBANK HILL,9835,168672
130,SPRUCE CLIFF,4525,75043
131,STRATHCONA PARK,6965,144088
132,SUNDANCE,10225,134504
133,TARADALE,19330,88074
134,TEMPLE,11475,83331
135,THORNCLIFFE,8760,77983
136,TUSCANY,19790,139488
137,UNIVERSITY DISTRICT,755,56970
138,UNIVERSITY HEIGHTS,2750,69591
139,UNIVERSITY OF CALGARY,,
140,VALLEY RIDGE,5565,156193
141,VARSITY,12800,85500
142,VISTA HEIGHTS,2250,77533
143,WALDEN,3675,119595
144,WEST SPRINGS,9820,172358
145,WESTGATE,3325,97991
146,WHITEHORN,12125,79477
147,WILDWOOD,2560,137371
148,WILLOW PARK,5375,96837
149,WOLF WILLOW,,
150,WOODBINE,9105,199299
151,WOODLANDS,6180,100352
152,YORKVILLE,,
